id,text
624530164626534400,hopeless for tmr 
624530162890219521,Everything in the kids section of IKEA is so cute. Shame I'm nearly 19 in 2 months 
624530162600812544,@Hegelbon That heart sliding into the waste basket. 
624530161011048448,"“@ketchBurning: I hate Japanese call him ""bani"" ”

Me too"
624530159928934400,"Dang starting next week I have ""work"" "
624530159593394176,"oh god, my babies' faces https/t.co/9fcwGvaki0"
624530150034571264,@RileyMcDonough make me smile (
624530148726022144,@f0ggstar @stuartthull work neighbour on motors. Asked why and he said hates the updates on search htt//t.co/XvmTUikWln
624530148671381504,"why?""@tahuodyy: sialan https/t.co/Hv1i0xcrL2"""
624530147102838784,Athabasca glacier was there in #1948 #athabasca #glacier #jasper #jaspernationalpark #alberta #explorealberta #… htt//t.co/dZZdqmf7Cz
624530143613165568,I have a really good m&amg idea but I'm never going to meet them ((
624530143403491328,@Rampageinthebox mare ivan 
624530143046860800,"@SophiaMascardo happy trip, keep safe. see you soon :* "
624530139137880064,I'm so tired hahahah 
624530137464315904,@GrumpyCockney With knee replacements they get you up &am about the same day. Ouch.
624530131344756737,"relate to the ""sweet n' sour"" kind of ""bi-polar"" people in your life... cuz my life... is FULL of them... "
624530121282564096,@aysegul_k pleasse 
624530118992461824,@SexyKalamo im not sure tho 
624530118132633600,"I feel stupid
I just can't seem to grasp the basics of digital painting and nothing I've been researching is helping any "
624530117981769728,Good Lord. https/t.co/nC9LkYUUvO
624530114202718208,I feel lonely someone talk to me guys and girls @TheOnlyRazzYT @imarieuda @EiroZPegasus @AMYSQUEE @UdotV
624530113430880257,"No Assignment, but we have Project. really? 😩"
624530111006658560,just want to play video games/watch movies with someone 
624530109114912768,choreographing is hard : (
624530104895569920,@xo_raaaaayyy_xo what the email link? Still says that it's no longer available htt//t.co/iuiaIOynnx
624530103821860864,cries bc i miss mingming so much 
624530101720387584,Sorry https/t.co/Q5TAYjrQ8K
624530100554313728,@Giannivnni mom so far away 
624530098096504832,We're truly sorry @chrisbrown have a safe flight.
624530097740087296,and my friends 
624530095588425729,@bbygjrlmgc oh i hate when that happens i get so sad over it too
624530091738025985,Oh. Dog has pee’d in my @Kneewax bag. So I can’t take it to #NewWine15
624530091284955136,@YM_Dish98 doushite ?
624530088240017408,@Charliescoco @reeceftcharliie @SimonCowell too late 
624530085555507204,It sucks so much been sick i was plan to start work on my first gundam to night but nope. 
624530083349331968,MY $$$$2 DOLLAR 😭😭😭😭😭😭 htt//t.co/oI0pYGUsDi
624530076810518528,"@martylog Listening back to old @DaveGorman shows (I know, I'm weird). Just got to u leaving: might give up. It was pale imitation after "
624530071584395264,i went in the sea and now have a massive fucking rash all over my body and it's the most painful thing ever i want to go home (
624530071500369920,@dethronedlwt hi. Why are you absent? 
624530070925918208,My Gran tho !!! She knew but didn't care to tell me (
624530069432729600,@rowysoIjp SAME IT'S SO CUTE I LOVE IT SO MUCH I WISH THERE WOULD BE A SEQUEL 
624530069323526148,@imallyssagail busy sa school next time love yah! xx
624530065729191936,Ouucchhh one of my wisdom teeth are coming through 
624530065095790592,@StevenLDN frightening case. It really gets to you 
624530064525275136,"pret ( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye"""
624530062902083584,You´ve got me in chains for your love :´( — a sentir-se incompleta
624530061895430144,it's okay.. but.. (
624530060557598720,@njhftbiebs why didn't you go on Wednesday 
624530056895942656,@radicalj Marvellous - not. How very thwarting 
624530055734165504,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something x
624530049572560896,@s0ulfl0wr When's your birthday ? 
624530048117264384,@brittleyouth @Tom_J_Allen @AndrewFairbairn @batemanesque @Hegelbon @jameswheeler that was the worst part and I still feel bad about it 
624530043780337664,audraesar: All these sushi pics on my tl are driving me craaaazzyy 
624530038185025536,Really want this htt//t.co/36tSy81iMi
624530036280979456,Popped like a helium balloon.. 
624530034460504064,#ClimateChange #CC California's powerful and influential air pollution watchdog.: Califor... htt//t.co/OVU4p2qWfH #UniteBlue #Tcot 
624530033831493632,@itsNotMirna I was so sad because Elhaida was robbed by the juries she came 10th in the televoting
624530033697095680,#ClimateChange #CC Idaho will not restrict fishing despite regional drought-linked die-of... htt//t.co/jJboDo6LYZ #UniteBlue #Tcot 
624530032933761024,"#ClimateChange #CC Abrupt climate change may have doomed mammoths and other megafauna, sc... htt//t.co/taVMCz37E7 #UniteBlue #Tcot "
624530032162009088,#ClimateChange #CC Australia's 'dirtiest' power station considers 'clean energy' biomass ... htt//t.co/YeQABq6tsL #UniteBlue #Tcot 
